replication,mean_wait_hours,mean_system_hours,throughput_per_day,closed_bugs_total
1,17.576279878913187,123.85997356502679,9.233333333333333,277
2,27.53665389491114,172.1724242746034,10.133333333333333,304
3,26.933206339843274,132.2794129001173,9.9,297
4,28.926192547016605,130.58604091846118,9.466666666666667,284
5,17.60030039383479,122.31885875720569,9.2,276
6,23.357320505860788,156.4654702255138,9.6,288
7,19.968191097988363,136.93045902831548,9.866666666666667,296
8,54.71564122307655,160.79518706888206,11.433333333333334,343
9,34.82804293270506,166.1190053428005,10.966666666666667,329
10,38.09853501971643,160.3520614192412,11.066666666666666,332
11,27.986417774620314,141.19959955456707,9.7,291
12,27.98290390777416,158.95621006551477,11.433333333333334,343
13,6.749192200096136,130.858760220485,9.333333333333334,280
14,34.6434945273892,181.53801809605073,10.566666666666666,317
15,14.098942797109045,138.60813985143972,10.233333333333333,307
16,39.36699405032846,141.051172453432,10.2,306
17,34.885608863052745,162.17425121999233,11.0,330
18,28.82398224520389,124.76602189475676,9.033333333333333,271
19,25.974980304285044,172.79616737455157,10.2,306
20,22.089152780664183,154.682540380835,9.9,297
21,32.00792913777722,161.62000937295807,10.866666666666667,326
22,33.97135697694592,201.1611082462368,10.9,327
23,36.90556686534285,164.52557186175258,10.533333333333333,316
24,7.9819632456640885,137.17682449859012,8.9,267
25,49.50184353822525,142.33302117723468,10.2,306
26,14.53800550246321,159.85731851998176,10.4,312
27,14.593842616561973,178.23861239152822,10.466666666666667,314
28,42.62074873341237,205.17698648971648,10.5,315
29,33.52654281558766,177.3340231283519,10.666666666666666,320
30,22.79464270710454,107.93377511763995,9.333333333333334,280
31,12.158164382115315,168.8600760934261,9.466666666666667,284
32,18.679268166099146,168.64573698141757,9.833333333333334,295
33,25.796417448361485,202.24858988705503,10.6,318
34,21.070187759696513,165.51500766068244,10.4,312
35,26.463269801514734,145.95069116354554,9.866666666666667,296
36,23.50065125841832,152.86497289039522,10.7,321
37,39.2169220804479,141.59952704689118,10.833333333333334,325
38,20.07070854186823,141.94114429177188,10.133333333333333,304
39,27.850879676519966,189.603582981172,11.1,333
40,37.80008273529438,161.4091627642731,10.633333333333333,319
41,36.10717499120943,143.24325513852256,10.366666666666667,311
42,24.466927924987118,142.1359183040397,10.3,309
43,13.382891339631533,125.58971419038207,9.3,279
44,50.04239795328267,203.7405151427719,11.166666666666666,335
45,36.24348116360771,216.4749377799947,11.233333333333333,337
46,37.09710490810495,154.48424388039825,10.366666666666667,311
47,48.740383121233926,144.3997326752619,10.9,327
48,29.223337115571198,188.9682436588305,9.866666666666667,296
49,21.789982970719006,143.87082596611043,9.733333333333333,292
50,34.69420559360111,125.27567409897196,9.633333333333333,289
