replication,mean_wait_hours,mean_system_hours,throughput_per_day,closed_bugs_total
1,236.85127282778961,286.4028726946436,9.233333333333333,277
2,261.90384551215806,326.63018128553483,10.133333333333333,304
3,233.3285569453352,282.40132610539825,9.9,297
4,240.90643799927344,312.13027887306544,9.466666666666667,284
5,224.18251356860267,282.17275848242554,9.2,276
6,244.0960871546178,320.66069577600706,9.6,288
7,223.57735658302278,283.2171466448977,9.866666666666667,296
8,299.1963938803989,368.96616357615204,11.433333333333334,343
9,272.67855174203413,344.16653161375285,10.966666666666667,329
10,282.89549214606615,348.31081864844185,11.066666666666666,332
11,240.18495270072253,294.28006741579577,9.7,291
12,268.45049124206855,335.1461253312878,11.433333333333334,343
13,218.40173213633847,284.8919339766626,9.333333333333334,280
14,279.73114785226977,359.22657533940617,10.566666666666666,317
15,222.0387255595173,279.0209044051899,10.233333333333333,307
16,265.73149541917013,331.6420375660687,10.2,306
17,285.0375067381458,355.64238361221413,11.0,330
18,246.44758056982275,296.27896482963905,9.033333333333333,271
19,269.53515723123337,342.9930452220377,10.2,306
20,243.81870498179322,309.79895352447915,9.9,297
21,283.9756041812685,361.47523596711363,10.866666666666667,326
22,286.6216524957696,374.336391988648,10.9,327
23,271.4586139481462,347.2184921423798,10.533333333333333,316
24,204.30595712109323,267.71350392981554,8.9,267
25,301.41010521503154,371.99890684250323,10.2,306
26,232.08334484835945,295.98437497344923,10.4,312
27,247.40276440406905,313.85815297991485,10.466666666666667,314
28,314.2878513727002,404.9415004894461,10.5,315
29,284.55673759451076,361.206140416306,10.666666666666666,320
30,211.20749232424114,248.72013799057385,9.333333333333334,280
31,233.48928676215587,306.28045348238277,9.466666666666667,284
32,259.9684679774192,336.70939163439255,9.833333333333334,295
33,271.01494418647763,361.7243285212759,10.6,318
34,247.74284139083937,314.87312254012426,10.4,312
35,260.9937839287598,333.30014030769576,9.866666666666667,296
36,236.04989645337608,301.17338521319004,10.7,321
37,281.1950539100038,347.7763518746019,10.833333333333334,325
38,243.133352233783,310.4282416973998,10.133333333333333,304
39,277.35823146445364,360.896548277475,11.1,333
40,286.9207985542912,357.0422687011519,10.633333333333333,319
41,251.00921109304736,315.85285442597495,10.366666666666667,311
42,255.8844267943292,319.043294888036,10.3,309
43,209.07964982287146,266.40664050062503,9.3,279
44,330.2827865239912,420.03118473697225,11.166666666666666,335
45,299.04660589372304,378.1012408792057,11.233333333333333,337
46,282.85138880373563,358.16147032917837,10.366666666666667,311
47,291.02035215762453,367.51744151585183,10.9,327
48,289.722433418334,384.18653278731506,9.866666666666667,296
49,254.9490125707391,329.08430147926686,9.733333333333333,292
50,247.67809338489695,299.9125592744429,9.633333333333333,289
